family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
latin_square,balanced,latin_square_balanced_1,greedy,8,3.850000211969018e-05,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_1,dsatur,7,0.0002541000139899552,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_1,welsh_powell,8,0.0001564000267535448,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_1,smallest_last,8,0.0005661999748554081,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_1,largest_first,8,4.3899985030293465e-05,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_1,iterated_greedy,8,0.00020730000687763095,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,sparse,latin_square_sparse_0,greedy,16,7.700000423938036e-05,True,,81,648,0.2,16.0,"{""size"": 9, ""clue_fraction"": 0.35}"
latin_square,sparse,latin_square_sparse_0,dsatur,9,0.0005664999771397561,True,,81,648,0.2,16.0,"{""size"": 9, ""clue_fraction"": 0.35}"
latin_square,sparse,latin_square_sparse_0,welsh_powell,16,0.0003789999755099416,True,,81,648,0.2,16.0,"{""size"": 9, ""clue_fraction"": 0.35}"
latin_square,sparse,latin_square_sparse_0,smallest_last,16,0.0013681999989785254,True,,81,648,0.2,16.0,"{""size"": 9, ""clue_fraction"": 0.35}"
latin_square,sparse,latin_square_sparse_0,largest_first,16,8.72999953571707e-05,True,,81,648,0.2,16.0,"{""size"": 9, ""clue_fraction"": 0.35}"
latin_square,sparse,latin_square_sparse_0,iterated_greedy,11,0.0004126999992877245,True,,81,648,0.2,16.0,"{""size"": 9, ""clue_fraction"": 0.35}"
map_coloring,small,map_coloring_small_0,greedy,4,6.099988240748644e-06,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_0,dsatur,5,3.1400006264448166e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_0,welsh_powell,4,2.020000829361379e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_0,smallest_last,4,6.780002149753273e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_0,largest_first,4,8.200004231184721e-06,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_0,iterated_greedy,4,3.2499985536560416e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_1,greedy,4,5.1000097300857306e-06,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_1,dsatur,4,2.850001328624785e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_1,welsh_powell,4,1.960000372491777e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_1,smallest_last,4,6.6100008552894e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_1,largest_first,4,8.000002708286047e-06,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,small,map_coloring_small_1,iterated_greedy,4,3.1400006264448166e-05,True,,12,26,0.3939393939393939,4.333333333333333,"{""regions"": 12}"
map_coloring,medium,map_coloring_medium_0,greedy,5,8.000002708286047e-06,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_0,dsatur,4,4.5900000259280205e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_0,welsh_powell,4,2.9000017093494534e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_0,smallest_last,4,0.00010839998139999807,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_0,largest_first,4,1.1500000255182385e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
